Name of the Company,Address,Phone,Business Types
M &amp; M INDIA,"Address: Plot No. 50, Galli No. 7, Panipat City, Panipat - 132103, Near Shani Shiv Mandir","Phone: +919812100237, +917027470290","Tags: Bed Sheet Manufacturers, Bed Sheet Wholesalers"
Abhinandan Textiles,"Address: 813/7, Sd Colleg Road, Panipat City, Panipat - 132103, Near PNB Bank",Phone: +918657555502,"Tags: Bed Sheet Manufacturers, Bed Sheet Wholesalers"
Delite International,"Address: Pasina Kalan, Panipat Gt Road, Panipat - 132103, G T Road Panipat","Phone: 1802575860, +919896658500, +919896066635","Tags: Bath MAT Manufacturers, Bed Sheet Manufacturers, Handloom Retailers"
Gopal Blanket Pvt Ltd,"Address: Shop Number 499/7, Gurudwara Road, New Hb Colony, Panipat - 132103, Amar Bhawan Chowk","Phone: +919896098956, +919896339966","Tags: Bed Sheet Manufacturers, Blanket Manufacturers, Woollen Blanket Manufacturers"
Handloom Hut,"Address: 206, Huda, Panipat Sector 11, Panipat - 132103, Gosh Ali Shah",Phone: +919034828798,"Tags: Bed Sheet Manufacturers, Door MAT Manufacturers"
Loom Tex Industries,"Address: 235 & 236, Panipat HO, Panipat - 132103, Satkartar Colony, Near 8 Marla Colony","Phone: 1802691611, 1802650515, +919355050515","Tags: Bed Sheet Manufacturers, Curtain Manufacturers"
Swaraj Fabrics,"Address: 82, HUDA Sector 25, Panipat - 132103, Part -1","Phone: 1802661662, +919354912644, +919034012644","Tags: Bed Sheet Manufacturers, Curtain Manufacturers, Home Furnishing Manufacturers"
Friends Loomtex,"Address: Plot No.11- 12, Gali No 7, Sanoli Road, Industrial Area, Panipat HO, Panipat - 132103, Arya Nagar Or Near Chander Hospital","Phone: +919896665080, +917206841414","Tags: Bed Sheet Manufacturers, Handloom Manufacturers, Handloom Wholesalers"
Anmol Enterprises,"Address: Panipat HO, Panipat - 132103, Nr Guru Nanak Pura, Ramlila Stage Back Side","Phone: +919315462789, +919355909696, +919255233210","Tags: Bed Sheet Manufacturers, Handloom Manufacturers"
Vidhi Handloom,"Address: 581/4, Circular Road, Pachranga Bazar, Panipat - 132103, Amar Bhawan Chowk","Phone: 1802645490, +919416332167, +919416409105","Tags: Bed Sheet Manufacturers, Bed Sheet Retailers, Handloom Retailers"
Prarthana Textile &amp; Pranav Trading Co.,"Address: Shop No. 25, Kumar Market, Pachranga Bazar, Panipat - 132103",Phone: 1802695851,"Tags: Bed Sheet Manufacturers, Blanket Manufacturers, Woollen Blanket Manufacturers"
Ashish Traders,"Address: Assandh Rd, Narain Singh Park, Panipat - 132103, Bhatia Clny","Phone: +919466797349, +919466797351","Tags: Bed Sheet Manufacturers, Blanket Manufacturers"
Ram Tex India,"Address: Shop No 831/8, Sethi Chowk, Panipat - 132107, Near Lal Mazid",Phone: +919416234852,"Tags: Bed Sheet Manufacturers, Bed Sheet Retailers, Door MAT Manufacturers"
Mayur Overseas,"Address: No. 85-86, Sector-25, Part- 1, Huda, Panipat HO, Panipat - 132103",Phone: +918586975547,"Tags: Bed Sheet Manufacturers, Bed Sheet Retailers, Mink Blanket Manufacturers"
adlakha handloom industries,"Address: Ward No. 11, Sanjay Colony, Panipat, Sanjay Colony, Sanoli Road, Panipat - 132104, Panipat","Phone: +919466708206, +919896773477",Tags: Bed Sheet Manufacturers
Rehani Textiles,"Address: Daljit Nagar, Sinoli Nagar, Panipat - 132103",Phone: +918053700021,Tags: Bed Sheet Manufacturers
D Textile,"Address: Veer Bhawan Chungi, St No 4, Panipat HO, Panipat - 132103, Rajeev Clny","Phone: +919024800588, +919991602951, +919355915556","Tags: Bed Sheet Manufacturers, Handloom Manufacturers"
Balaji Enterprises,"Address: Plot No-7, Panipat HO, Panipat - 132103, Dhup Singh Nagar","Phone: 1804003958, +919050877777",Tags: Bed Sheet Manufacturers
Swaran Fabrics,"Address: #356/7, Gali Ram Mandir Wali, Sanoli Road, Panipat - 132104, Near amar bhawan chowk","Phone: 1802635879, +919416018879",Tags: Bed Sheet Manufacturers
Rama Handloom Industries,"Address: Sanoli Road, Panipat - 132104","Phone: +919468345950, 9466623946",Tags: Bed Sheet Manufacturers
Maina Textiles – Manufacturer Of 3D Bedsheets,"Address: Maina Textiles, TEJ VIHAR COLONY, Babail, Panipat - 132103, NEAR ASHT BHUJI MANDIR","Phone: +918168551894, 8708341535, 9813521314, 9350002449","Tags: Bed Sheet Manufacturers, Bed Sheet Wholesalers"
Shiv Shakti Handloom Industries,"Address: 12, Panipat HO, Panipat - 132145, Krishna Mkt Pb","Phone: 1802641087, 1802641017","Tags: Bed Sheet Manufacturers, Blanket Manufacturers, Woollen Blanket Manufacturers"
Onkar Textile,"Address: Plot No.3, Sanoli Road, Panipat - 132103, Near Old Sabzi Mandi","Phone: +919416876300, +919466623707","Tags: Bed Sheet Manufacturers, Bed Sheet Wholesalers"
Diamond Handloom House,"Address: 2/7 S.D. College Road, Panipat Gt Road, Panipat - 132103, Near Pnb Bank","Phone: +919992400924, +919215206500","Tags: Bed Sheet Manufacturers, Handloom Manufacturers"
Arvind Textiles,"Address: 269/7, Panipat City, Panipat - 132103, Amar Bhawan Chowk",Phone: +919996104747,"Tags: Bed Sheet Manufacturers, Handloom Manufacturers, Textile Retailers"
Abbs International Inc.,"Address: Plot # 93, Ind. Estate, Sec-25, Part-I, G.t. Road, Panipat Gt Road, Panipat - 132103","Phone: 1804004844, +919896304849","Tags: Bed Sheet Manufacturers, Cushion Cover Manufacturers, Rug Manufacturers"
S K Handloom Traders,"Address: Old Gohana Rd, Panipat HO, Panipat - 132103, Nr Ravidas Dharmshala","Phone: +919255733400, +919215800840","Tags: Bed Sheet Manufacturers, Door MAT Manufacturers, Handloom Retailers"
Sajawat Fabrics Pvt Ltd,"Address: Shop No .-559/4, Circular Road, New Hb Colony, Panipat - 132103, Amar Bhawan Chowk","Phone: 1804003608, +919812037608, +919253700190, +919896634346","Tags: Bed Sheet Manufacturers, Bed Sheet Retailers, Bed Sheet Wholesalers"
Shree Balaji Mfg &amp; Trading Co,"Address: dabur colony, Panipat - 132103, near pirbaba","Phone: +919253834482, +919996820077, +919017836477","Tags: Bed Sheet Manufacturers, Blanket Cover Manufacturers"
Dev Fab INDIA,"Address: 514/1 Salar Ganj Gate, Panipat City, Panipat - 132103, Near Salar Ganj Gate","Phone: +919034046912, +919729306912","Tags: Bed Sheet Manufacturers, Handloom Manufacturers"
Bsbr Knit Fabs,"Address: Sector 29, Part2, Industrial Area, Panipat - 132103, Behind Flora Exports",Phone: +919354910328,"Tags: Bed Sheet Manufacturers, Fabric Manufacturers, Fleece Blanket Dealers"
Rang Collection,"Address: 11-B, HUDA Sector 25, Panipat - 132103, Part-2",Phone: +917404105000,"Tags: Bed Sheet Manufacturers, Curtain Manufacturers, Sofa Cover Dealers"
Sanyam Textiles,"Address: 357 Sector25, Part2, Huda, Panipat - 132103",Phone: +918053433655,"Tags: Bed Sheet Manufacturers, Carpet Dealers, Carpet Manufacturers"
Marvel Home Furnishing,"Address: Plot No. 60 Sect. 25 Part 2 Industrial Area Huda, Panipat- 132103, Panipat HO, Panipat - 132103",Phone: +919812100741,"Tags: Bed Sheet Manufacturers, Bed Sheet Wholesalers"
BAL Kishan Loomtex PVT LTD,"Address: Khanna Rd, Panipat HO, Panipat - 132103, Nr D N Batra Hospital , Krishan Pura",Phone: +919253845450,Tags: Bed Sheet Manufacturers
Vaishno Dropes,"Address: Dev Puri Road Ganga Markit Shop No 4, Sanoli Road, Sanoli Road, Panipat - 132104, Icici Bank","Phone: +919416006455, +917206006455","Tags: Bed Sheet Manufacturers, Bed Sheet Wholesalers, Door MAT Manufacturers"
Jyoti Handloom Pvt Ltd,"Address: H.O. Offioce:828/7, Amar Bhawan Chowk, Panipat G T Road, Panipat - 132103, Panipat",Phone: +919215519517,"Tags: Bed Sheet Manufacturers, Bed Sheet Retailers"
Hunny Handloom,"Address: Shastri Colony, Jattal Road, Panipat - 132103, Nr Railway Crossing",Phone: +919034209491,Tags: Bed Sheet Manufacturers
Shree Ganesh Jewellers,"Address: 1170, N.H.B.C. Colony, Panipat City, Panipat - 132103, Panipat",Phone: +919215532212,"Tags: Bed Sheet Manufacturers, Bed Sheet Retailers, Jewellery Showrooms"
Home Saaz,"Address: GT Rd, Panipat Gt Road, Panipat - 132103, Near By Gurdwara Opst Ralaway Stn","Phone: +918553077777, +918443977777","Tags: Bed Sheet Manufacturers, Bed Sheet Wholesalers"
Radhey Home Furnishing,"Address: New Vikas Nagar, Tehsil Camp, Indira Colony, Panipat - 132103",Phone: +918607972359,"Tags: Bed Sheet Manufacturers, Curtain Dealers"
MAA Ambey Home Decor,"Address: 824/7, Insaar Chowk Market, Panipat - 132103, Amer Bhavan Chowk Bazar","Phone: 1804018808, +919671700308, +919896129808, +919728491808","Tags: Bed Sheet Manufacturers, Bed Sheet Wholesalers, Handloom Wholesalers"
Dev handloom,"Address: Main Bazar, Bapoli, Bapoli, Panipat - 132104, Panipat",Phone: +919813679075,"Tags: Bed Sheet Manufacturers, Bed Sheet Retailers, Curtain Dealers"
Radhy Krishna Overseas,"Address: Shop No 6, Panipat HO, Panipat - 132103, Near By Jaganath Mandir","Phone: +919254233332, +919996587872","Tags: Bed Sheet Manufacturers, Curtain Dealers"
Poonam Furnishing,"Address: 920/7 Amair Kacheri, Panipat HO, Panipat - 132103, Near Amair Kacheri","Phone: +919215603335, +919728101920","Tags: Bed Sheet Manufacturers, Bed Sheet Retailers, Bed Sheet Wholesalers"
Jmd  Home Decor,"Address: 681/7 amar bhavan chowk, gurudwara road panipat, Panipat G T Road, Panipat - 132103, Near banke bihari mandir","Phone: +919729292926, +918930630186","Tags: Bed Sheet Manufacturers, Bed Sheet Retailers, Bed Sheet Wholesalers"
Dharam Textiles,"Address: Shop No. 280/7 Opp. Ram Mandir, Ugra Kheri Mod, Sanoli Road, Panipat City, Panipat - 132103",Phone: +918950188229,"Tags: Bed Sheet Manufacturers, Blanket Dealers, Blanket Wholesalers"
ITrend India???,"Address: Krishanpura, Krishanpura, Khanna Road, Krishanpura, Panipat - 132103",Phone: +919250300009,"Tags: Bed Sheet Manufacturers, Carpet Dealers"
Skice Decor Pvt Ltd,"Address: House No. 164, Ward No. 24, 8, Marla, Kranti Nagar, Marla, Panipat - 132103",Phone: +917206224617,"Tags: Bed Sheet Manufacturers, Bedspread Manufacturers, Curtain Manufacturers"
Solution Bajaj,"Address: 156- R, Model Town, Panipat - 132103, Near By Ram Lal Chowk","Phone: +918930088882, +918930088885, +918930088883","Tags: Bed Sheet Manufacturers, Bed Sheet Retailers, Handloom Retailers"
Jai Hanuman Handloom,"Address: Shop Number 13 First Floor, Pachranga Bazzar Ganpati Kambal Market, Panipat HO, Panipat - 132103",Phone: +919215208643,"Tags: Bed Sheet Manufacturers, Blanket Wholesalers, Handloom Retailers"
Shree Balaji Loomtex,"Address: Gali Number 3, Sanoli Road, Panipat - 132104, Baljeet Nagar, Opposite Malik Petrol Pump","Phone: 1802642683, +919896008683, +919991000591","Tags: Bed Sheet Manufacturers, Fabric Retailers, Handloom Manufacturers"
Rishaan Bedding Best Bedsheets And Blankets  Wholesaler And Manufacturer In Panipat And India,Address: 19 rishi colony sanoli road panipat,"Phone: 7206925509, 8221805445","Tags: Bed Sheet Manufacturers, Bed Sheet Wholesalers"
Anand Fabrics,"Address: 104, Sector 11, Panipat 03, Huda, S D College Road, Panipat - 132103, Near Pnb 15/23,Opposite 512",Phone: +919416201050,"Tags: Bed Sheet Manufacturers, Quilt Dealers, Sofa Cover Dealers"
Madhu Fabrics,"Address: 770/7, Daya Nand Road, Opposite Santosh Tex, Amar Bhawan Chowk, Panipat G T Road, Panipat - 132103, Panipat","Phone: 1802640682, +919253721179, +919255499507","Tags: Bed Sheet Manufacturers, Bed Sheet Retailers, Fabric Retailers"
Kanha Fab,"Address: Plot No 204, Huda, Panipat - 132104, Sector 29","Phone: +919812024768, +919896152260","Tags: Bed Sheet Manufacturers, Bed Sheet Retailers, Fabric Retailers"
E Business Dot,"Address: Plot No - 360, Second Floor, Sec- 25, Part 2, Panipat HO, Panipat - 132103","Phone: +919050274420, +919354744420","Tags: Bed Sheet Manufacturers, Curtain Manufacturers"
Aman Handloom,"Address: Shop No-141, Aggarwal Street, Gohana Road, Panipat, Panipat HO, Panipat - 132103","Phone: +919896073234, +919812116307","Tags: Bed Sheet Manufacturers, Carpet Manufacturers, Curtain Manufacturers"
Balaji Handloom,"Address: No. 797, Ward No. 3, Panipat - 132103, Near Prem Mandir",Phone: +919896008864,"Tags: Bath MAT Manufacturers, Bed Sheet Manufacturers, Curtain Manufacturers"
Radha Krishna Garments,"Address: Bhumia Khera Wali Gali, Bapoli, Bapoli, Panipat - 132104, Panipat",Phone: +919416481518,"Tags: Bed Sheet Manufacturers, Bed Sheet Retailers, Jeans Dealers"
Mayur handicrafts,"Address: plot No 12, mahavir colony jatal road, Panipat Gt Road, Panipat - 132103, near sanjay chowk","Phone: +919991009399, +919253200020","Tags: Bed Sheet Manufacturers, Blanket Dealers, Carpet Dealers"
B.S. Exports,"Address: Naultha, panipat, Gohana Road, Panipat - 132103",Phone: 1806452222,"Tags: Bed Sheet Manufacturers, Blanket Dealers, Blanket Manufacturers"
Yatharath Overseas,"Address: Sewah, Gt Road, Risalu Road, Panipat Gt Road, Panipat - 132103, Near G T Road","Phone: 1802575897, +919812400883, +919992600025","Tags: Bed Sheet Manufacturers, Carpet Dealers, Carpet Manufacturers"
MAB FAB (India),"Address: Near Ugarkhari Mor, Sanoli Road, Sanoli Road, Panipat - 132104, Panipat",Phone: 1802667066,"Tags: Bed Sheet Manufacturers, Carpet Dealers, Carpet Manufacturers"
Armin Industries,"Address: Plot No-94, HUDA Sector 29, Panipat - 132103, Part",Phone: +919812443914,"Tags: Bed Sheet Manufacturers, Blanket Manufacturers, Carpet Manufacturers"
Vipin Handloom Industries,"Address: 581/4, Amar Bhawan Chowk, Pachranga Bazar, Panipat - 132103, Panipat","Phone: 1804015771, +919050777654, +919359624009, +919997071196","Tags: Bed Sheet Manufacturers, Carpet Manufacturers, Handloom Retailers"
Silvertex Furnishing,"Address: Old Gohana Road, Gohana Road, Panipat - 132103, Behind Midtown Hotel, Near Sanjay Chowk","Phone: +918607341000, +919996212416, +919518641414","Tags: Bed Sheet Manufacturers, Carpet Manufacturers, Handloom Manufacturers"
Tanzil Creations,"Address: Shop No. 307/7, Ram Mandir Colony, Panipat Gt Road, Panipat - 132103, Near Amar Bhawan Chowk","Phone: +919215151967, 9355151967","Tags: Bed Sheet Manufacturers, Blanket Manufacturers, Carpet Manufacturers"
Geeta Exports,"Address: Barsat Road, Panipat - 132103, Village Noorwala, Near Mohit Nagar, Near Ansar Township","Phone: +919896325934, 9896325935","Tags: Bed Sheet Manufacturers, Carpet Manufacturers, Handloom Manufacturers"
Paramjiv Anand,"Address: Noorwala, Noorwala, Panipat - 132104, Opposite Ansal Township","Phone: 1802633666, 1806539533, +919215502008, +918930322799","Tags: Bed Sheet Manufacturers, Carpet Dealers, Carpet Manufacturers"
Home zara,"Address: house no - 636, Panipat Sector 11, Panipat - 132103, Near Shamshan Ghat","Phone: +918059044416, +919812234441","Tags: Bath MAT Manufacturers, Bed Sheet Manufacturers, Carpet Manufacturers"
Amritpal Textile Industry,"Address: Plot No 912/7, Pachranga Bazar, Pachranga Bazar, Panipat - 132103, Near By Sd College Road","Phone: +919991449933, +919991449989, +918950200016","Tags: Bed Sheet Manufacturers, Bed Sheet Wholesalers, Blanket Wholesalers"
Preet 3 International,"Address: gali no 6 plot no 9, sg, Panipat HO, Panipat - 132103, Near Fauji Dhaba",Phone: +919896432788,"Tags: Bath MAT Manufacturers, Bed Sheet Manufacturers, Carpet Manufacturers"
Neel Kamal Loomtek,"Address: Circular Road, Panipat - 132103",Phone: +917206821308,"Tags: Bed Sheet Manufacturers, Carpet Manufacturers, Door MAT Manufacturers"
R V Junction,"Address: Plot No 1746, Huda, Panipat - 132104, Huda Sector 18, Near Govt College","Phone: +917017085030, +917827431050","Tags: Bed Sheet Manufacturers, Carpet Manufacturers, Rug Manufacturers"
Chani Loomtex,"Address: 555/4, Circular Road, Panipat City, Panipat - 132103, Near Amar Bhawan Chowk","Phone: 1804012771, +919996636771","Tags: Bed Sheet Manufacturers, Blanket Wholesalers, Carpet Manufacturers"
Prince Overseas,"Address: Sanoli Road, Panipat HO, Panipat - 132103, Old Sabji Mandi, Near Sanjay Chowk & Hyderabadi Hospital","Phone: +919034014000, 9050790506","Tags: Bed Sheet Manufacturers, Carpet Manufacturers, Handloom Retailers"
Anand Loomtex,"Address: Ujha Road, Ujha Road, Panipat - 132104, Near Manav Sewa Kender,Sector-24","Phone: +919416286873, +919468225584","Tags: Bed Sheet Manufacturers, Carpet Manufacturers"
Rajpal Gupta,"Address: Gali No. 3, Ugrakheri Road, Panipat - 132103",Phone: +919050190100,Tags: Bed Sheet Manufacturers
Jayneel Textile,"Address: Marla Chouk, Marla, Jatal Road, Panipat - 132103, Near 8",Phone: +919996316300,"Tags: Bed Sheet Manufacturers, Carpet Dealers, Textile Retailers"
New Mahadev Texo Fab,"Address: Noorwala, Hari Singh Colony, Hari Singh Colony, Panipat - 132103",Phone: +917206624709,Tags: Bed Sheet Manufacturers
Harshit International,"Address: Urban Estate, Sector 12, 600, Near Sd Vidya Mandir, Panipat Gt Road, Panipat - 132103","Phone: +919896006655, +919466343963","Tags: Bed Sheet Manufacturers, Blanket Manufacturers, Woollen Blanket Manufacturers"
Bharat Tex,"Address: 928/3, Parasnath Road, Pachranga Bazar, Panipat - 132103, Near Pachranga Bazar Chowk","Phone: 1804021008, +919355557255","Tags: Bed Sheet Manufacturers, Cushion Manufacturers, Quilt Dealers"
Prem Crackers,"Address: Sector 13, 17, Panipat - 132103",Phone: +919034037403,Tags: Bed Sheet Manufacturers
The Divine International Inc,"Address: Building No. 10, Adarsh Colony Street, Sethi Chowk Area, Panipat - 132103",Phone: +919812491249,"Tags: Bath MAT Manufacturers, Bed Sheet Manufacturers"
kingstone creation,"Address: gali no8, Tehsil Camp, Panipat - 132113, bhawna chowk","Phone: +919996448064, 7206465036","Tags: Bath MAT Manufacturers, Bed Sheet Manufacturers, Mink Blanket Manufacturers"
Elegant FAB,"Address: HUDA Sector 25, Panipat - 132103",Phone: +919891496808,"Tags: Bed Sheet Manufacturers, Mattress Dealers"
Sarthak Handloom,"Address: Radha Yan Factory, Barsat Road, Panipat City, Panipat - 132103, Near Sachdeva Garden","Phone: +919034600333, +919996687077","Tags: Bed Sheet Manufacturers, Bed Sheet Retailers, Home Furnishing Manufacturers"
Siddharth Texstyles,"Address: Plot No. 467, Sector 29, Part 2, Chautala Road, HUDA, Panipat - 132103, Near By Flora Chowk",Phone: +917206287118,"Tags: Bed Sheet Manufacturers, Blanket Manufacturers, Woollen Blanket Manufacturers"
Maya Woollen Industry,"Address: 1832; Housing Road Colony, Sec 13/17, Panipat - 132103, Near Ansal Township",Phone: +919896626600,"Tags: Bed Sheet Manufacturers, Blanket Dealers, Blanket Wholesalers"
Garg Textiles,"Address: No.-224, Sector-25, Part-Ii, Sector-25, Panipat - 132103",Phone: +919896212901,"Tags: Bed Sheet Manufacturers, Textile Retailers"
Solitaire Home,"Address: G.T Road, Railway Road, Panipat - 132103, Opp Pillar No 43,",Phone: +918607777744,"Tags: Bed Sheet Manufacturers, Bed Sheet Wholesalers"
Tarun Handloom,"Address: 1, Lake Road, Narain Singh Park, Panipat - 132103, Near Shahid Bhagat Singh Library","Phone: +919467696323, +917015002552","Tags: Bed Sheet Manufacturers, Bed Sheet Retailers, Handloom Retailers"
Gourav Rugs,"Address: Sanoli Road, Gandhi Mandi, Panipat - 132103, Opp. Malik Petrol Pump,",Phone: +9101802641678,"Tags: Bath MAT Manufacturers, Bed Sheet Manufacturers, Textile Manufacturers"
Abhey Enterprises,"Address: No. 252 L, Model Town, Panipat - 132103",Phone: +919992200252,Tags: Bed Sheet Manufacturers
Shanta Textile,"Address: 854/sector 24, Near Amar Bhawan Chowk, Panipat HO, Panipat - 132103, Near Gujar","Phone: +919050100089, 9416019683","Tags: Bed Sheet Manufacturers, Handloom Manufacturers, Saree Manufacturers"
Ganesh Handlooms,"Address: Plot No 97, Huda Part 1, HUDA Sector 25, Panipat - 132103, Near Gt Karnal",Phone: +919991145999,"Tags: Bed Sheet Manufacturers, Bed Sheet Retailers, Handloom Retailers"
mukul handloom,"Address: Dushi Nagar H No 915 Ward No 12, Sanoli Road Gali No 12, HUDA Sector 12, Panipat - 132103","Phone: +918708643218, 9034882555","Tags: Bed Sheet Manufacturers, Handloom Manufacturers"
Shiv Handloom Industries,"Address: Plot No 64, Sanoli Road, Panipat - 132104, Opp Malik Petrol Pump","Phone: +919215560928, +919416012399","Tags: Bed Sheet Manufacturers, Handloom Manufacturers"
Hand Tex,"Address: 203 Jatal Road, Jattal Road, Panipat - 132103, Panipat","Phone: +9101802651547, +9101802652547, +919896600047","Tags: Bed Sheet Manufacturers, Handloom Manufacturers"
Bapu Textiles,"Address: Babail Rd, Panipat HO, Panipat - 132103, Bh Saluja Gas Godown",Phone: +919215511703,"Tags: Bed Sheet Manufacturers, Textile Manufacturers"
Pahuja Texo Feb,"Address: Khasra No 295/1, Krishna Nagar, Panipat City, Panipat - 132103, Ward No 11, Near Krishna Dharmshala","Phone: 1802645232, +919812300660, 9416315846","Tags: Bed Sheet Manufacturers, Bed Sheet Wholesalers"
Goyal Handloom Ind,"Address: Gali No-5, Sanoli Rd, Panipat HO, Panipat - 132103, Opp Capial Mkt, Dhoop Singh Mkt","Phone: +918053851000, +919355951000, +919315251000, +919315251001","Tags: Bed Sheet Manufacturers, Handloom Exporters"
Rugtex INDIA,"Address: Plot No 7, Barsat Road, Panipat City, Panipat - 132103, Near Pvr Mall",Phone: +919802813700,"Tags: Bed Sheet Manufacturers, Handloom Manufacturers"
R K Textiles,"Address: Shop No 831/7, Amar Bhwan Chowk, Panipat G T Road, Panipat - 132103, Panipat",Phone: +919416610864,"Tags: Bed Sheet Manufacturers, Bed Sheet Wholesalers, Textile Retailers"
Ganga INDIA,"Address: No. 24/31, Khanna Road, Panipat HO, Panipat - 132103, Opposite Sumit Skin Hospital",Phone: +919034400014,"Tags: Bed Sheet Manufacturers, Bed Sheet Wholesalers, Blanket Wholesalers"
N K Textiles,"Address: Shop No. 281/7, Amar Bhawan Chowk, Panipat City, Panipat - 132103",Phone: +919215601800,"Tags: Bed Sheet Manufacturers, Blanket Dealers, Blanket Wholesalers"
MAA Handloom,"Address: Ekta Vihar Colony, Ujha Road, Panipat City, Panipat - 132103, Near Rajendera School",Phone: +919017223825,"Tags: Bed Sheet Manufacturers, Bed Sheet Wholesalers"
Bansal Yarn,"Address: Shop No 13, Panipat - 132103, Near Dev Puri Road,Ganga Puri Market",Phone: +918930000388,"Tags: Bed Sheet Manufacturers, Bed Sheet Wholesalers, Carpet Dealers"
Om Elegant,"Address: Shop No 53, IBL School, Jogendar Net Wali Gali, Laxmi Market, Narain Singh Park, Panipat - 132103, Near Head Post Office",Phone: +919034811224,"Tags: Bed Sheet Manufacturers, Bed Sheet Wholesalers"
Docomo Textile,"Address: Saloni Road, Gali Number- 1, Gandhi Mandi, Panipat - 132103, Ganesh Nagar",Phone: +917206000099,"Tags: Bed Sheet Manufacturers, Bed Sheet Wholesalers"
L V Udyog,"Address: House Num782, 8 Marla Behind Sugar Mill Colony, Panipat Kranti Nagar, Panipat - 132103, Near Ganesh Spining Mill",Phone: +917206100888,"Tags: Bed Sheet Manufacturers, Bed Sheet Wholesalers, Blanket Wholesalers"
Eden Fabrics Pvt Ltd,"Address: Eden Plaza, Near Gohana Chowk, Panipat Gt Road, Panipat - 132103, G T Road","Phone: 1802660509, 1802660033, +919896333417, +919896078259","Tags: Bed Sheet Manufacturers, Bed Sheet Wholesalers"
Madhav Tex,"Address: 282/7, Sethi Chowk, Panipat - 132107, Opposite Sant Dwara Hari Mandir",Phone: +919416016813,"Tags: Bed Sheet Manufacturers, Bed Sheet Wholesalers"
tirupati handloom industry,"Address: dayananad road, near amar bhawan chouck, panipat, Panipat City, Panipat - 132103, near dayananad road ,amar bhawan chouck","Phone: 1804007486, +919416017100, +919416018100","Tags: Bed Sheet Manufacturers, Bed Sheet Wholesalers"
Fashion Craft,"Address: 137-R, Model Town, Panipat - 132103","Phone: 1804018601, 1804019601, 1804010789, 1804010160, +919215599905","Tags: Bed Sheet Manufacturers, Bed Sheet Retailers, Bed Sheet Wholesalers"
Unique  Loon tech pvt ltd,"Address: Jattal Road, Panipat - 132103, Near Railway Crossing","Phone: 1802667239, +919354923858","Tags: Bed Sheet Manufacturers, Bed Sheet Wholesalers"
G. R. V. Industries,"Address: Plot No. 11-B, Sector-25, Part-2, Huda, PANIPAT - 132104, Huda",Phone: +919896858882,"Tags: Bed Sheet Manufacturers, Bed Sheet Retailers"
Style and Colours – Bajaj Textiles,"Address: Plot 285, Sector 29, Part-2, Huda Industrial Area, Panipat - 132103","Phone: +918930360006, +919050071132","Tags: Bed Sheet Manufacturers, Bed Sheet Wholesalers"
Pragmus Enterprises,"Address: Kumar Bulan Market, Pachranga Bazar Office No. 41, Model Town, Panipat - 132103, Model Town",Phone: +918968018266,Tags: Bed Sheet Manufacturers
Green Fabrics,"Address: Chandni Bagh, Sanoli Road, Panipat - 132103",Phone: +919996533355,"Tags: Bath MAT Manufacturers, Bed Sheet Manufacturers, Door MAT Manufacturers"
Pn Fabrics,"Address: Plot No 100 Sec 29 Part 1 Huda Panipat, Sec 29 Part 1, Panipat - 132103",Phone: +919896649177,Tags: Bed Sheet Manufacturers
Gourav Handloom Textile,"Address: 649/6, Khail Bazar, Panipat HO, Panipat - 132103, Near-Sethi Chowk","Phone: +917015973193, +918950509592, +918708533034","Tags: Bed Sheet Manufacturers, Fleece Blanket Dealers"
Pahariya Enterprises,"Address: Old Gohana Road, Gohana Road, Panipat - 132103, Near Khatik Basti",Phone: +918168375736,"Tags: Bed Sheet Manufacturers, Blanket Manufacturers, Woollen Blanket Manufacturers"
Shiv International,"Address: House Number 101, Jattal Road, Panipat Gt Road, Panipat - 132103, Krishna Nagar, Near Chaudhary Hospital","Phone: +919034225261, 9034680602",Tags: Bed Sheet Manufacturers
Rugs India,"Address: Vikas Nagar, Panipat - 132103, Virat Nagar",Phone: +917015096028,"Tags: Bed Sheet Manufacturers, Carpet Dealers, Sofa Cover Dealers"
Sidhi Vinayak Textile,"Address: Shop No. 80, 81 Truck Union, Panipat Sector 25 Part 1, Panipat - 132103, Near Fire Brigde Office",Phone: +917206889186,Tags: Bed Sheet Manufacturers
Hsr Collection,"Address: Plot No. 1604, Nhbc, New Housing Board Colony, Panipat - 132103, Near Paruthi Chowk Sai Baba Chowk",Phone: +919812310797,Tags: Bed Sheet Manufacturers
Durvesh Overseas,"Address: No. 382, Model Town, Model Town, Panipat - 132103, Behind Ahuja Sweet",Phone: +918950666691,Tags: Bed Sheet Manufacturers
Pahwa Handloom House,"Address: 26 D, Jawhar Nagar, Tehsil Camp, Tehsil Town, Panipat - 132103",Phone: +917027541119,"Tags: Bed Sheet Manufacturers, Handloom Retailers"
Saawaan Creations,"Address: Shop No. 280/14, Ganga Puri Road, Panipat - 132103",Phone: +919812424241,Tags: Bed Sheet Manufacturers
Viva Decor Enterprises,"Address: Fort Panipat, Fort, Panipat - 132103",Phone: +919991810024,"Tags: Bed Sheet Manufacturers, Door MAT Manufacturers"
Radha Madhav Texo Fabs,"Address: 481/7, Near Amar Bhavan Chowk, Panipat City, Panipat - 132103","Phone: +918816836831, 9588320121",Tags: Bed Sheet Manufacturers
Udit Textiles,"Address: Ram Mandir Gali Amar Chauk, Panipat - 132103",Phone: +918950208858,Tags: Bed Sheet Manufacturers
